ticker,company,default_point_convention,E_today,D,sigma_E_hist,V_implied,sigma_V_implied,n_iterations,converged,distance_to_default,implied_PD,risk_free_rate,horizon_years
MSFT,Microsoft,naive,3588320530555.747,315989000000.0,0.3182089587531564,3892071262047.282,0.2902613445366466,2,True,8.641741566037458,2.768127294296021e-18,0.0395,1.0
MSFT,Microsoft,kmv,3588320530555.747,24760500000.0,0.3182089587531564,3612122055251.5312,0.31582367082987406,2,True,15.74431946629026,3.7567531556803333e-56,0.0395,1.0
AAPL,Apple,naive,4514709672075.806,285508000000.0,0.2510026894398231,4789159934099.753,0.23498998522466802,2,True,12.050428859414428,9.647171895055643e-34,0.0395,1.0
AAPL,Apple,kmv,4514709672075.806,59493000000.0,0.2510026894398231,4571898505448.568,0.24748601180418434,2,True,17.579581456754212,1.7658685404487782e-69,0.0395,1.0
JNJ,Johnson & Johnson,naive,651250973319.114,117666000000.0,0.18635448946038846,764359763725.3717,0.1545472574679279,2,True,12.285860483358244,5.394543734975183e-35,0.0395,1.0
JNJ,Johnson & Johnson,kmv,651250973319.114,28214000000.0,0.18635448946038846,678372243801.0048,0.17756677288682837,2,True,18.04173623972454,4.580981692203767e-73,0.0395,1.0
PFE,Pfizer,naive,159989835903.82767,121385000000.0,0.23527457645913308,276673589268.5705,0.12870304894840512,2,True,6.643889871587888,1.5275544157171784e-11,0.0395,1.0
PFE,Pfizer,kmv,159989835903.82767,33557500000.0,0.23527457645913308,192247652384.86716,0.19140889762581742,2,True,9.230006287785084,1.3530800762263264e-20,0.0395,1.0
PG,Procter & Gamble,naive,336298958096.1438,72210000000.0,0.19612776104403207,405712261473.80493,0.16291926922996477,2,True,10.755598870767404,2.7885283414177054e-27,0.0395,1.0
PG,Procter & Gamble,kmv,336298958096.1438,22718000000.0,0.19612776104403207,358137088910.9022,0.18430569129065325,2,True,15.085122807768533,1.0144838572929798e-51,0.0395,1.0
KO,Coca-Cola,naive,391962229472.13086,70541000000.0,0.18516892345412256,459771173296.58167,0.1534562016398114,2,True,12.396112975946846,1.3715523720067685e-35,0.0395,1.0
KO,Coca-Cola,kmv,391962229472.13086,24432500000.0,0.18516892345412256,415448457623.00616,0.17278649262334944,2,True,16.540741784378756,9.335451067289615e-62,0.0395,1.0
WMT,Walmart,naive,825252784087.3699,178488000000.0,0.2625490822901546,996827935635.2438,0.2210662000364857,2,True,7.848878155964035,2.0988759650984868e-15,0.0395,1.0
WMT,Walmart,kmv,825252784087.3699,27450000000.0,0.2625490822901546,851639644324.4117,0.2551743523955688,2,True,13.487798869133945,9.226385645371554e-42,0.0395,1.0
KHC,Kraft Heinz,naive,30333371639.168823,39997000000.0,0.2781962683080042,68781284678.6697,0.11817724317459026,2,True,4.862563093996197,5.793771286733035e-07,0.0395,1.0
KHC,Kraft Heinz,kmv,30333371639.168823,11563500000.0,0.2781962683080042,41449016752.10639,0.1998394401667603,2,True,6.485920258832671,4.40959019785126e-11,0.0395,1.0
HD,Home Depot,naive,334642315039.8186,92282000000.0,0.253240741832009,423350228933.97894,0.2010401217924608,2,True,7.673304789000347,8.381027660804336e-15,0.0395,1.0
HD,Home Depot,kmv,334642315039.8186,32601500000.0,0.253240741832009,365981157444.8431,0.23194697405080866,2,True,10.480084341099241,5.332429517659215e-26,0.0395,1.0
MCD,McDonald's,naive,191735481462.65228,61306000000.0,0.18138894688506718,250667097261.9999,0.1410515344041871,2,True,10.193439398165792,1.0606195240903699e-24,0.0395,1.0
MCD,McDonald's,kmv,191735481462.65228,19986500000.0,0.18138894688506718,210947903398.0854,0.16590829732024426,2,True,14.35908517502668,4.672628891402648e-47,0.0395,1.0
F,Ford Motor,naive,56440274548.66235,253180000000.0,0.3752667610029492,299805828724.0875,0.06569420059057691,2,True,3.141471598125495,0.0008405055601592139,0.0395,1.0
F,Ford Motor,kmv,56440274548.66235,110319000000.0,0.3752667610029492,162484197731.26474,0.1227247284139174,2,True,3.4155618785335666,0.00031825282995968663,0.0395,1.0
VZ,Verizon,naive,205453636908.7419,298517000000.0,0.24722678136381937,492409059191.19183,0.09480029018863378,2,True,5.64860467160301,8.08776758588658e-09,0.0395,1.0
VZ,Verizon,kmv,205453636908.7419,88384000000.0,0.24722678136381937,290414520522.24304,0.16734482761249003,2,True,7.261151703245737,1.9190409499425656e-13,0.0395,1.0
T,AT&T,naive,173296839362.04645,291706000000.0,0.25063468425058594,453705050979.58246,0.09385175345461631,2,True,5.080318484912582,1.8840130897978998e-07,0.0395,1.0
T,AT&T,kmv,173296839362.04645,72555500000.0,0.25063468425058594,243042261508.80676,0.1768902796335688,2,True,6.968944108682263,1.596642606680232e-12,0.0395,1.0
CHTR,Charter Communications,naive,17911900755.23639,133694000000.0,0.5134727187609018,146358743897.82422,0.07794356790077059,2,True,1.6289933198587707,0.05165721655298543,0.0395,1.0
CHTR,Charter Communications,kmv,17911900755.23639,49394500000.0,0.5134727187609018,65359668166.99558,0.16664588407570666,2,True,1.834313928166261,0.033303703914744104,0.0395,1.0
LUMN,Lumen Technologies,naive,6126785758.779779,35459000000.0,0.7917732906082187,39900519681.91422,0.151876858020263,2,True,0.9611665718094963,0.16823421065857752,0.0395,1.0
LUMN,Lumen Technologies,kmv,6126785758.779779,8764500000.0,0.7917732906082187,14448703365.55214,0.3905420455141014,2,True,1.185874010305872,0.11783602911561392,0.0395,1.0
XOM,ExxonMobil,naive,678917786225.3119,182354000000.0,0.2548865889506628,854209207415.3135,0.19506347467445737,2,True,8.021498681519981,5.223135174669756e-16,0.0395,1.0
XOM,ExxonMobil,kmv,678917786225.3119,23260000000.0,0.2548865889506628,701276925355.1332,0.2452421924617412,2,True,13.92743966472552,2.1577505188724396e-44,0.0395,1.0
OXY,Occidental Petroleum,naive,61277770079.63721,47588000000.0,0.3542009280537104,107022642089.25238,0.1859233398194966,2,True,4.478598805486714,3.756729601121802e-06,0.0395,1.0
OXY,Occidental Petroleum,kmv,61277770079.63721,11486000000.0,0.3542009280537104,72318916770.93063,0.2902631355272468,2,True,6.329878880385953,1.2267685822033728e-10,0.0395,1.0
CAT,Caterpillar,naive,380564851825.6315,77267000000.0,0.3949907513461121,454839297145.5059,0.32295213403287915,2,True,5.449811229819329,2.521165556854647e-08,0.0395,1.0
CAT,Caterpillar,kmv,380564851825.6315,27979000000.0,0.3949907513461121,407460223868.334,0.36520887438757355,2,True,7.259682099657306,1.9400056114443086e-13,0.0395,1.0
GE,General Electric,naive,361455647587.5868,111271000000.0,0.3274084017444158,468417116615.10394,0.2457449086327916,2,True,5.886979447502463,1.966588014254913e-09,0.0395,1.0
GE,General Electric,kmv,361455647587.5868,11090500000.0,0.3274084017444158,372116612012.3195,0.3168917062222513,2,True,11.052382081280355,1.0673704376076356e-28,0.0395,1.0
AAL,American Airlines,naive,9148424520.802805,65501000000.0,0.47982651798430237,72091932626.85873,0.06007189676841368,2,True,2.223542582818989,0.013089617663492824,0.0395,1.0
AAL,American Airlines,kmv,9148424520.802805,16874500000.0,0.47982651798430237,25363768171.33199,0.17104310409243262,2,True,2.527960595688344,0.005736361373864371,0.0395,1.0
CCL,Carnival Corp,naive,35241071204.894394,39403000000.0,0.4762782909274011,73110525517.12865,0.23786599872370862,2,True,2.6457765106322415,0.004075182227352048,0.0395,1.0
CCL,Carnival Corp,kmv,35241071204.894394,14621500000.0,0.4762782909274011,49296036048.45776,0.3468840654893073,2,True,3.444050812051914,0.0002865339961238985,0.0395,1.0
RCL,Royal Caribbean,naive,78096008528.0,31374000000.0,0.465452182365094,108254577573.0101,0.33525023401157683,2,True,3.6444710396785904,0.00013397115136377805,0.0395,1.0
RCL,Royal Caribbean,kmv,78096008528.0,12262500000.0,0.465452182365094,89883580729.55568,0.40402260041774574,2,True,4.82609717326327,6.961729634817828e-07,0.0395,1.0
NEE,NextEra Energy,naive,174492080365.80014,146242000000.0,0.21433723618308848,315070120977.2746,0.11997340310749158,2,True,6.666774527728093,1.3074316749368396e-11,0.0395,1.0
NEE,NextEra Energy,kmv,174492080365.80014,50841000000.0,0.21433723618308848,223364006096.63614,0.1682296112340828,2,True,8.9487755885951,1.7972353707340018e-19,0.0395,1.0
DUK,Duke Energy,naive,93447306641.31888,142717000000.0,0.15927502794168477,230636870664.99512,0.06533804315436983,2,True,7.917995119519934,1.2068541847374919e-15,0.0395,1.0
DUK,Duke Energy,kmv,93447306641.31888,49782000000.0,0.15927502794168477,141301247490.87885,0.10606115803567233,2,True,10.155613805628427,1.564176970882633e-24,0.0395,1.0
NUE,Nucor,naive,55273722051.67139,12980000000.0,0.3157231928289182,67751006054.44182,0.24442675657738974,2,True,6.799817669281892,5.2375820081068485e-12,0.0395,1.0
NUE,Nucor,kmv,55273722051.67139,3525500000.0,0.3157231928289182,58662679274.46524,0.29226846843422283,2,True,9.609558818290214,3.643024914528854e-22,0.0395,1.0
FCX,Freeport-McMoRan,naive,110085108572.03323,27401000000.0,0.5152227592094186,136424654474.48706,0.38567628426805994,2,True,4.071600814484596,2.334557307108995e-05,0.0395,1.0
FCX,Freeport-McMoRan,kmv,110085108572.03323,4922500000.0,0.5152227592094186,114816959920.46265,0.48551920120426906,2,True,6.3255134317135635,1.261959746856481e-10,0.0395,1.0
