ticker,sector,cyclicality,DD_reduction,log10_fold_increase
CHTR,Communications,cyclical,0.8910555411071298,0.712486006646364
LUMN,Communications,cyclical,0.6519406798099845,0.3982983295641432
HD,Consumer Discretionary,cyclical,2.4237894802640376,9.86359475896596
F,Consumer Discretionary,cyclical,1.4596427629346964,1.8976678093781882
RCL,Consumer Discretionary,cyclical,1.300163803800198,2.4803977894606004
CCL,Consumer Discretionary,cyclical,1.1826687068598933,1.6162145436742188
XOM,Energy,cyclical,2.477546411322386,13.732618471483757
OXY,Energy,cyclical,1.7511699953008977,4.27816241252167
GE,Industrials,cyclical,1.9262044465865547,8.51913144329758
CAT,Industrials,cyclical,1.5841079687208302,4.550029379235595
AAL,Industrials,cyclical,1.1103460842821629,1.1334764897427867
NUE,Materials,cyclical,2.0031923494781587,7.5848480349545655
FCX,Materials,cyclical,1.234900184546741,3.1494488387463337
AAPL,Technology,cyclical,2.523327664107459,17.944706177556128
MSFT,Technology,cyclical,1.9938529140068155,12.825614850803372
VZ,Communications,defensive,1.0430684846559597,3.115805032301284
T,Communications,defensive,0.9953013670316091,2.8595703726799773
MCD,Consumer Discretionary,defensive,1.3890073709682973,8.283431790198868
KO,Consumer Staples,defensive,1.3910566670010311,9.607107475418356
PG,Consumer Staples,defensive,1.2971677726406998,8.16868974238756
WMT,Consumer Staples,defensive,0.9708958895362834,5.512981137962801
KHC,Consumer Staples,defensive,0.9064744710773667,2.43569707031297
JNJ,Healthcare,defensive,1.3805429881718538,10.434397208763643
PFE,Healthcare,defensive,1.0908138654081068,4.165411598868548
DUK,Utilities,defensive,1.5292013080828593,6.302035629820926
NEE,Utilities,defensive,1.1570489102901407,4.262261571000904
