ticker,company,horizon_years,distance_to_default,implied_PD
LUMN,Lumen Technologies,0.25,2.5116620647291295,0.006008204827579564
LUMN,Lumen Technologies,0.5,1.7418281696524538,0.04076925797182194
LUMN,Lumen Technologies,1.0,1.1833134665398772,0.11834246885290428
LUMN,Lumen Technologies,2.0,0.7683587597266702,0.2211370370976603
LUMN,Lumen Technologies,3.0,0.5715382520428816,0.2838174192136279
LUMN,Lumen Technologies,5.0,0.35622938277821325,0.36083439453590926
LUMN,Lumen Technologies,7.0,0.22797794237874713,0.40983169422487226
LUMN,Lumen Technologies,10.0,0.09901175996890695,0.4605644664411712
AAL,American Airlines,0.25,4.834876369912346,6.661420462128178e-07
AAL,American Airlines,0.5,3.4681185745691403,0.00026205798587893193
AAL,American Airlines,1.0,2.5221141161982414,0.00583259292335376
AAL,American Airlines,2.0,1.8820934089011374,0.029911667061271494
AAL,American Airlines,3.0,1.617302402794765,0.05290651044679832
AAL,American Airlines,5.0,1.3775903865559311,0.08416489536437893
AAL,American Airlines,7.0,1.26977979830727,0.10208153932574349
AAL,American Airlines,10.0,1.1947797433138396,0.11608654835593218
GE,General Electric,0.25,22.15388272514442,4.785242453979275e-109
GE,General Electric,0.5,15.652095759634376,1.6072826081921923e-55
GE,General Electric,1.0,11.049226429111602,1.1055596152056479e-28
GE,General Electric,2.0,7.786853045036926,3.4349388282453524e-15
GE,General Electric,3.0,6.336603921733897,1.1744238740127297e-10
GE,General Electric,5.0,4.875260305299034,5.433253441060812e-07
GE,General Electric,7.0,4.092412962679392,2.1345375130546577e-05
GE,General Electric,10.0,3.3889014119695196,0.0003508661775101233
KHC,Kraft Heinz,0.25,12.822730068844473,6.115828986051246e-38
KHC,Kraft Heinz,0.5,9.099826138500216,4.523827416566717e-20
KHC,Kraft Heinz,1.0,6.480916241611819,4.5583637302439674e-11
KHC,Kraft Heinz,2.0,4.6482733297370356,1.6736258985762974e-06
KHC,Kraft Heinz,3.0,3.8488398252056517,5.9339287041443066e-05
KHC,Kraft Heinz,5.0,3.064243163551245,0.0010911072971916517
KHC,Kraft Heinz,7.0,2.65985917485828,0.003908666471524293
KHC,Kraft Heinz,10.0,2.313373939307176,0.01035104432151733
JNJ,Johnson & Johnson,0.25,35.880154424567685,3.115399265538628e-282
JNJ,Johnson & Johnson,0.5,25.416368227327162,8.313721850910144e-143
JNJ,Johnson & Johnson,1.0,18.03610455546435,5.072395183435665e-73
JNJ,Johnson & Johnson,2.0,12.843987284748113,4.6480230392001745e-38
JNJ,Johnson & Johnson,3.0,10.560993586722464,2.2592672305226442e-26
JNJ,Johnson & Johnson,5.0,8.295029745249392,5.427901898194991e-17
JNJ,Johnson & Johnson,7.0,7.1073661467229865,5.913917641223133e-13
JNJ,Johnson & Johnson,10.0,6.067915197746663,6.479064545646366e-10
AAPL,Apple,0.25,35.103349635940745,2.9962224130196705e-270
AAPL,Apple,0.5,24.83306711323449,1.9703906269606195e-136
AAPL,Apple,1.0,17.575540824345495,1.8962827708311676e-69
AAPL,Apple,2.0,12.450285186512623,6.967317853484688e-36
AAPL,Apple,3.0,10.183987346636217,1.1689057651723787e-24
AAPL,Apple,5.0,7.916944551691809,1.2170911703890183e-15
AAPL,Apple,7.0,6.715094045705168,9.397248155880382e-12
AAPL,Apple,10.0,5.648439137977491,8.0955576302526e-09
