ticker,price_status,price_error,fundamentals_status,fundamentals_error
MSFT,skipped_exists,,skipped_exists,
AAPL,skipped_exists,,skipped_exists,
JNJ,skipped_exists,,skipped_exists,
PFE,skipped_exists,,skipped_exists,
PG,skipped_exists,,skipped_exists,
KO,skipped_exists,,skipped_exists,
WMT,skipped_exists,,skipped_exists,
KHC,skipped_exists,,skipped_exists,
HD,skipped_exists,,skipped_exists,
MCD,skipped_exists,,skipped_exists,
F,skipped_exists,,skipped_exists,
VZ,skipped_exists,,skipped_exists,
T,skipped_exists,,skipped_exists,
CHTR,skipped_exists,,skipped_exists,
LUMN,ok,,ok,
XOM,skipped_exists,,skipped_exists,
OXY,skipped_exists,,skipped_exists,
CAT,skipped_exists,,skipped_exists,
GE,skipped_exists,,skipped_exists,
AAL,skipped_exists,,skipped_exists,
CCL,skipped_exists,,skipped_exists,
RCL,skipped_exists,,skipped_exists,
NEE,skipped_exists,,skipped_exists,
DUK,skipped_exists,,skipped_exists,
NUE,skipped_exists,,skipped_exists,
FCX,skipped_exists,,skipped_exists,
